print_form	render_form	status
Moloch	Moloch	untested
Hayek	Hayek	untested
Nozick	Nozick	untested
Rawls	Rawls	untested
Ostrom	Ostrom	untested
Schelling	Schelling	untested
Nietzsche	Nietzsche	untested
Kahneman	Kahneman	untested
Taleb	Taleb	untested
Axelrod	Axelrod	untested
MacIntyre	MacIntyre	untested
Nussbaum	Nussbaum	untested
Sen	Sen	untested
Coase	Coase	untested
Gauthier	Gauthier	untested
Scanlon	Scanlon	untested
Korsgaard	Korsgaard	untested
Sidgwick	Sidgwick	untested
Parfit	Parfit	untested
Frankish	Frankish	untested
Dancy	Dancy	untested
Dworkin	Dworkin	untested
Sowell	Sowell	untested
Caplan	Caplan	untested
Pigovian	Pigovian	untested
Euthyphro	Euthyphro	untested
Thomistic	Thomistic	untested
Chesterton	Chesterton	untested
ren	ren	untested
anatman	anatman	untested
Ubuntu	Ubuntu	untested
tsuyoku naritai	tsuyoku naritai	untested
Tribunal de las Aguas	Tribunal de las Aguas	untested
Dawkins	Dawkins	untested	ch-02 proper noun — isolation-test before render
Downing	Downing	untested	ch-02 proper noun — isolation-test before render
Tideman	Tideman	untested	ch-02 proper noun — isolation-test before render
Chieruzzi	Chieruzzi	untested	ch-02 proper noun — isolation-test before render
Stein	Stein	untested	ch-02 proper noun — isolation-test before render
JOSS	JOSS	untested	ch-02 proper noun (program nickname) — isolation-test before render
Pavlov	Pavlov	untested	ch-02 proper noun (rule nickname) — isolation-test before render
Tribunal de las Aguas	tree-boo-NAL deh lahs AH-gwahs	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Micalet	mee-kah-LET	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
huerta	WEHR-tah	untested	ch-03 proper noun, highest-frequency term in chapter (listen-log suggested render-spelling) — isolation-test before render
regadiu	reh-gah-DEE-oo	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
secano	seh-KAH-no	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
extremales	eks-treh-MAH-less	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
hereters	eh-reh-TEHRS	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Castellón	kas-teh-YOHN	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Turia	TOOR-ee-ah	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
madelia	mah-DEH-lee-ah	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Mawelle	mah-WEL-leh	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Mahattea	mah-hah-TAY-ah	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Alanya	ah-LAHN-yah	untested	ch-03 proper noun (listen-log suggested render-spelling) — isolation-test before render
Quart	KWART	untested	ch-03 proper noun, canal name — not in listen-log's list, editor-derived render-spelling — isolation-test before render
Mislata	mees-LAH-tah	untested	ch-03 proper noun, canal name — not in listen-log's list, editor-derived render-spelling — isolation-test before render
Rascanya	rahs-KAH-nyah	untested	ch-03 proper noun, canal name — not in listen-log's list, editor-derived render-spelling — isolation-test before render
Jaume	JOW-meh	untested	referenced in ch-03 endnotes only (1321 charter, pending re-verification) — does not appear in ch-03 script text itself per listen-log; editor-derived render-spelling — isolation-test before render
Bodrum	boh-DROOM	untested	ch-03 proper noun, Turkish place name — editor-derived render-spelling — isolation-test before render
Izmir	iz-MEER	untested	ch-03 proper noun, Turkish place name ("the Bay of Izmir") — editor-derived render-spelling — isolation-test before render
Glick	Glick	untested	ch-03 proper noun (Thomas Glick) — isolation-test before render
Levi	Levi	untested	ch-03 proper noun (Margaret Levi); pronunciation not independently verified this session — isolation-test before render
Alexander	Alexander	untested	ch-03 proper noun (Paul Alexander) — isolation-test before render
Winchilsea	WIN-chil-see	untested	ch-04 proper noun (Earl of Winchilsea), editor-derived render-spelling — isolation-test before render
Battersea	Battersea	untested	ch-04 proper noun, place name (Battersea Fields) — isolation-test before render
Hardinge	HAR-dinj	untested	ch-04 proper noun (Sir Henry Hardinge), editor-derived render-spelling — isolation-test before render
Falmouth	FAL-muth	untested	ch-04 proper noun (Lord Falmouth), editor-derived render-spelling — isolation-test before render
Boscawen	bos-KOH-en	untested	ch-04 proper noun (Edward Boscawen), editor-derived render-spelling — isolation-test before render
Appiah	ah-PY-ah	untested	ch-04 proper noun (Kwame Anthony Appiah), editor-derived render-spelling — isolation-test before render
Maghribi	muh-GREE-bee	untested	ch-04 proper noun, editor-derived render-spelling — isolation-test before render
genizah	geh-NEE-zah	untested	ch-04 term (Cairo Geniza), editor-derived render-spelling — isolation-test before render
Goitein	goy-TAYN	untested	ch-04 proper noun (S. D. Goitein), editor-derived render-spelling — isolation-test before render
Schechter	SHEK-ter	untested	ch-04 proper noun (Solomon Schechter), editor-derived render-spelling — isolation-test before render
Greif	GRYFE	untested	ch-04 proper noun (Avner Greif), editor-derived render-spelling — isolation-test before render
Ogilvie	OH-gul-vee	untested	ch-04 proper noun (Sheilagh Ogilvie), editor-derived render-spelling — isolation-test before render
Boehm	BAME	untested	ch-04 proper noun (Christopher Boehm), editor-derived render-spelling — isolation-test before render
Mensur	men-ZOOR	untested	ch-04 term, editor-derived render-spelling — isolation-test before render
Davis	Davis	untested	ch-04 proper noun (David Brion Davis) — isolation-test before render
